Age,2000 US Standard Million,2000 US Standard,1990 US Standard Million,1980 US Standard Million,1970 US Standard Million,1960 US Standard Million,1950 US Standard Million,1940 US Standard Million,,
,,Population (Census P25-1130),,,,,,,,Weights
00 years,"13,818","3,794,901","12,936","15,598","17,151","22,930","20,882","15,343",,0.013818049
01-04 years,"55,317","15,191,619","60,863","56,565","67,265","90,390","86,376","64,718",,0.055315943
05-09 years,"72,533","19,919,840","72,772","73,716","98,204","104,235","87,591","81,147",,0.07253241
10-14 years,"73,032","20,056,779","68,812","80,523","102,304","93,538","73,785","89,208",,0.073031035
15-19 years,"72,169","19,819,518","71,384","93,439","93,845","73,717","70,450","93,670",,0.072167116
20-24 years,"66,478","18,257,225","76,476","94,103","80,561","60,231","76,191","88,007",,0.066478472
25-29 years,"64,529","17,722,067","85,694","86,168","66,320","60,612","81,237","84,277",,0.064529847
30-34 years,"71,044","19,511,370","87,905","77,516","56,249","66,635","76,425","77,789",,0.071045083
35-39 years,"80,762","22,179,956","80,267","61,644","54,656","69,601","74,629","72,495",,0.080761977
40-44 years,"81,851","22,479,229","70,829","51,510","58,958","64,689","67,712","66,742",,0.081851695
45-49 years,"72,118","19,805,793","55,778","48,951","59,622","60,670","60,190","62,697",,0.072117141
50-54 years,"62,716","17,224,359","45,638","51,689","54,643","53,568","54,893","55,114",,0.062717586
55-59 years,"48,454","13,307,234","42,345","51,271","49,077","47,009","48,011","44,383",,0.048454493
60-64 years,"38,793","10,654,272","42,685","44,528","42,403","39,830","40,210","35,911",,0.03879449
65-69 years,"34,264","9,409,940","40,657","38,767","34,406","34,897","33,199","28,911",,0.03426361
70-74 years,"31,773","8,725,574","32,145","30,008","26,789","26,427","22,641","19,515",,0.031771687
75-79 years,"26,999","7,414,559","24,612","21,160","18,871","17,028","14,283","11,422",,0.026998
80-84 years,"17,842","4,900,234","15,817","12,956","11,241","8,811","7,467","5,881",,0.017842803
85+ years,"15,508","4,259,173","12,385","9,888","7,435","5,182","3,828","2,770",,0.015508562
Total,"1,000,000","274,633,642","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",,1
