Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Esophagus","Age 0","Age <br/>5",0.000
"Esophagus","Age 0","Age <br/>10",0.000
"Esophagus","Age 0","Age <br/>15",0.000
"Esophagus","Age 0","Age <br/>20",0.000
"Esophagus","Age 0","Age <br/>25",0.000
"Esophagus","Age 0","Age <br/>30",0.001
"Esophagus","Age 0","Age <br/>35",0.002
"Esophagus","Age 0","Age <br/>40",0.004
"Esophagus","Age 0","Age <br/>45",0.008
"Esophagus","Age 0","Age <br/>50",0.020
"Esophagus","Age 0","Age <br/>55",0.041
"Esophagus","Age 0","Age <br/>60",0.078
"Esophagus","Age 0","Age <br/>65",0.133
"Esophagus","Age 0","Age <br/>70",0.202
"Esophagus","Age 0","Age <br/>75",0.279
"Esophagus","Age 0","Age <br/>80",0.354
"Esophagus","Age 0","Age <br/>85",0.417
"Esophagus","Age 0","Age <br/>90",0.457
"Esophagus","Age 0","Age <br/>95",0.474
"Esophagus","Age 0","Age <br/>95+",0.480
"Esophagus","Age 5","Age <br/>5",
"Esophagus","Age 5","Age <br/>10",0.000
"Esophagus","Age 5","Age <br/>15",0.000
"Esophagus","Age 5","Age <br/>20",0.000
"Esophagus","Age 5","Age <br/>25",0.000
"Esophagus","Age 5","Age <br/>30",0.001
"Esophagus","Age 5","Age <br/>35",0.002
"Esophagus","Age 5","Age <br/>40",0.004
"Esophagus","Age 5","Age <br/>45",0.008
"Esophagus","Age 5","Age <br/>50",0.020
"Esophagus","Age 5","Age <br/>55",0.041
"Esophagus","Age 5","Age <br/>60",0.079
"Esophagus","Age 5","Age <br/>65",0.134
"Esophagus","Age 5","Age <br/>70",0.204
"Esophagus","Age 5","Age <br/>75",0.282
"Esophagus","Age 5","Age <br/>80",0.357
"Esophagus","Age 5","Age <br/>85",0.421
"Esophagus","Age 5","Age <br/>90",0.461
"Esophagus","Age 5","Age <br/>95",0.479
"Esophagus","Age 5","Age <br/>95+",0.485
"Esophagus","Age 10","Age <br/>5",
"Esophagus","Age 10","Age <br/>10",
"Esophagus","Age 10","Age <br/>15",0.000
"Esophagus","Age 10","Age <br/>20",0.000
"Esophagus","Age 10","Age <br/>25",0.000
"Esophagus","Age 10","Age <br/>30",0.001
"Esophagus","Age 10","Age <br/>35",0.002
"Esophagus","Age 10","Age <br/>40",0.004
"Esophagus","Age 10","Age <br/>45",0.009
"Esophagus","Age 10","Age <br/>50",0.020
"Esophagus","Age 10","Age <br/>55",0.041
"Esophagus","Age 10","Age <br/>60",0.079
"Esophagus","Age 10","Age <br/>65",0.134
"Esophagus","Age 10","Age <br/>70",0.204
"Esophagus","Age 10","Age <br/>75",0.282
"Esophagus","Age 10","Age <br/>80",0.358
"Esophagus","Age 10","Age <br/>85",0.421
"Esophagus","Age 10","Age <br/>90",0.462
"Esophagus","Age 10","Age <br/>95",0.479
"Esophagus","Age 10","Age <br/>95+",0.485
"Esophagus","Age 15","Age <br/>5",
"Esophagus","Age 15","Age <br/>10",
"Esophagus","Age 15","Age <br/>15",
"Esophagus","Age 15","Age <br/>20",0.000
"Esophagus","Age 15","Age <br/>25",0.000
"Esophagus","Age 15","Age <br/>30",0.001
"Esophagus","Age 15","Age <br/>35",0.002
"Esophagus","Age 15","Age <br/>40",0.004
"Esophagus","Age 15","Age <br/>45",0.009
"Esophagus","Age 15","Age <br/>50",0.020
"Esophagus","Age 15","Age <br/>55",0.041
"Esophagus","Age 15","Age <br/>60",0.079
"Esophagus","Age 15","Age <br/>65",0.134
"Esophagus","Age 15","Age <br/>70",0.205
"Esophagus","Age 15","Age <br/>75",0.282
"Esophagus","Age 15","Age <br/>80",0.358
"Esophagus","Age 15","Age <br/>85",0.422
"Esophagus","Age 15","Age <br/>90",0.462
"Esophagus","Age 15","Age <br/>95",0.480
"Esophagus","Age 15","Age <br/>95+",0.486
"Esophagus","Age 20","Age <br/>5",
"Esophagus","Age 20","Age <br/>10",
"Esophagus","Age 20","Age <br/>15",
"Esophagus","Age 20","Age <br/>20",
"Esophagus","Age 20","Age <br/>25",0.000
"Esophagus","Age 20","Age <br/>30",0.001
"Esophagus","Age 20","Age <br/>35",0.002
"Esophagus","Age 20","Age <br/>40",0.004
"Esophagus","Age 20","Age <br/>45",0.008
"Esophagus","Age 20","Age <br/>50",0.020
"Esophagus","Age 20","Age <br/>55",0.041
"Esophagus","Age 20","Age <br/>60",0.079
"Esophagus","Age 20","Age <br/>65",0.135
"Esophagus","Age 20","Age <br/>70",0.205
"Esophagus","Age 20","Age <br/>75",0.283
"Esophagus","Age 20","Age <br/>80",0.359
"Esophagus","Age 20","Age <br/>85",0.422
"Esophagus","Age 20","Age <br/>90",0.463
"Esophagus","Age 20","Age <br/>95",0.481
"Esophagus","Age 20","Age <br/>95+",0.487
"Esophagus","Age 25","Age <br/>5",
"Esophagus","Age 25","Age <br/>10",
"Esophagus","Age 25","Age <br/>15",
