Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Female
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Ovary","Age 0","Age <br/>5",0.001
"Ovary","Age 0","Age <br/>10",0.002
"Ovary","Age 0","Age <br/>15",0.006
"Ovary","Age 0","Age <br/>20",0.013
"Ovary","Age 0","Age <br/>25",0.022
"Ovary","Age 0","Age <br/>30",0.035
"Ovary","Age 0","Age <br/>35",0.052
"Ovary","Age 0","Age <br/>40",0.076
"Ovary","Age 0","Age <br/>45",0.119
"Ovary","Age 0","Age <br/>50",0.184
"Ovary","Age 0","Age <br/>55",0.277
"Ovary","Age 0","Age <br/>60",0.388
"Ovary","Age 0","Age <br/>65",0.518
"Ovary","Age 0","Age <br/>70",0.666
"Ovary","Age 0","Age <br/>75",0.821
"Ovary","Age 0","Age <br/>80",0.974
"Ovary","Age 0","Age <br/>85",1.110
"Ovary","Age 0","Age <br/>90",1.205
"Ovary","Age 0","Age <br/>95",1.249
"Ovary","Age 0","Age <br/>95+",1.268
"Ovary","Age 5","Age <br/>5",
"Ovary","Age 5","Age <br/>10",0.001
"Ovary","Age 5","Age <br/>15",0.005
"Ovary","Age 5","Age <br/>20",0.013
"Ovary","Age 5","Age <br/>25",0.022
"Ovary","Age 5","Age <br/>30",0.035
"Ovary","Age 5","Age <br/>35",0.051
"Ovary","Age 5","Age <br/>40",0.076
"Ovary","Age 5","Age <br/>45",0.119
"Ovary","Age 5","Age <br/>50",0.186
"Ovary","Age 5","Age <br/>55",0.279
"Ovary","Age 5","Age <br/>60",0.391
"Ovary","Age 5","Age <br/>65",0.522
"Ovary","Age 5","Age <br/>70",0.671
"Ovary","Age 5","Age <br/>75",0.828
"Ovary","Age 5","Age <br/>80",0.983
"Ovary","Age 5","Age <br/>85",1.120
"Ovary","Age 5","Age <br/>90",1.216
"Ovary","Age 5","Age <br/>95",1.260
"Ovary","Age 5","Age <br/>95+",1.279
"Ovary","Age 10","Age <br/>5",
"Ovary","Age 10","Age <br/>10",
"Ovary","Age 10","Age <br/>15",0.004
"Ovary","Age 10","Age <br/>20",0.011
"Ovary","Age 10","Age <br/>25",0.021
"Ovary","Age 10","Age <br/>30",0.033
"Ovary","Age 10","Age <br/>35",0.050
"Ovary","Age 10","Age <br/>40",0.074
"Ovary","Age 10","Age <br/>45",0.118
"Ovary","Age 10","Age <br/>50",0.184
"Ovary","Age 10","Age <br/>55",0.278
"Ovary","Age 10","Age <br/>60",0.390
"Ovary","Age 10","Age <br/>65",0.521
"Ovary","Age 10","Age <br/>70",0.670
"Ovary","Age 10","Age <br/>75",0.827
"Ovary","Age 10","Age <br/>80",0.982
"Ovary","Age 10","Age <br/>85",1.119
"Ovary","Age 10","Age <br/>90",1.215
"Ovary","Age 10","Age <br/>95",1.259
"Ovary","Age 10","Age <br/>95+",1.278
"Ovary","Age 15","Age <br/>5",
"Ovary","Age 15","Age <br/>10",
"Ovary","Age 15","Age <br/>15",
"Ovary","Age 15","Age <br/>20",0.007
"Ovary","Age 15","Age <br/>25",0.017
"Ovary","Age 15","Age <br/>30",0.029
"Ovary","Age 15","Age <br/>35",0.046
"Ovary","Age 15","Age <br/>40",0.070
"Ovary","Age 15","Age <br/>45",0.114
"Ovary","Age 15","Age <br/>50",0.180
"Ovary","Age 15","Age <br/>55",0.274
"Ovary","Age 15","Age <br/>60",0.386
"Ovary","Age 15","Age <br/>65",0.517
"Ovary","Age 15","Age <br/>70",0.667
"Ovary","Age 15","Age <br/>75",0.824
"Ovary","Age 15","Age <br/>80",0.979
"Ovary","Age 15","Age <br/>85",1.116
"Ovary","Age 15","Age <br/>90",1.212
"Ovary","Age 15","Age <br/>95",1.256
"Ovary","Age 15","Age <br/>95+",1.275
"Ovary","Age 20","Age <br/>5",
"Ovary","Age 20","Age <br/>10",
"Ovary","Age 20","Age <br/>15",
"Ovary","Age 20","Age <br/>20",
"Ovary","Age 20","Age <br/>25",0.009
"Ovary","Age 20","Age <br/>30",0.022
"Ovary","Age 20","Age <br/>35",0.039
"Ovary","Age 20","Age <br/>40",0.063
