Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Male
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Prostate","Age 0","Age <br/>5",0.000
"Prostate","Age 0","Age <br/>10",0.000
"Prostate","Age 0","Age <br/>15",0.000
"Prostate","Age 0","Age <br/>20",0.000
"Prostate","Age 0","Age <br/>25",0.000
"Prostate","Age 0","Age <br/>30",0.001
"Prostate","Age 0","Age <br/>35",0.002
"Prostate","Age 0","Age <br/>40",0.008
"Prostate","Age 0","Age <br/>45",0.052
"Prostate","Age 0","Age <br/>50",0.229
"Prostate","Age 0","Age <br/>55",0.747
"Prostate","Age 0","Age <br/>60",1.788
"Prostate","Age 0","Age <br/>65",3.438
"Prostate","Age 0","Age <br/>70",5.669
"Prostate","Age 0","Age <br/>75",7.772
"Prostate","Age 0","Age <br/>80",9.345
"Prostate","Age 0","Age <br/>85",10.300
"Prostate","Age 0","Age <br/>90",10.836
"Prostate","Age 0","Age <br/>95",11.076
"Prostate","Age 0","Age <br/>95+",11.179
"Prostate","Age 5","Age <br/>5",
"Prostate","Age 5","Age <br/>10",0.000
"Prostate","Age 5","Age <br/>15",0.000
"Prostate","Age 5","Age <br/>20",0.000
"Prostate","Age 5","Age <br/>25",0.000
"Prostate","Age 5","Age <br/>30",0.001
"Prostate","Age 5","Age <br/>35",0.001
"Prostate","Age 5","Age <br/>40",0.008
"Prostate","Age 5","Age <br/>45",0.053
"Prostate","Age 5","Age <br/>50",0.231
"Prostate","Age 5","Age <br/>55",0.755
"Prostate","Age 5","Age <br/>60",1.807
"Prostate","Age 5","Age <br/>65",3.475
"Prostate","Age 5","Age <br/>70",5.730
"Prostate","Age 5","Age <br/>75",7.857
"Prostate","Age 5","Age <br/>80",9.447
"Prostate","Age 5","Age <br/>85",10.412
"Prostate","Age 5","Age <br/>90",10.954
"Prostate","Age 5","Age <br/>95",11.197
"Prostate","Age 5","Age <br/>95+",11.301
"Prostate","Age 10","Age <br/>5",
"Prostate","Age 10","Age <br/>10",
"Prostate","Age 10","Age <br/>15",0.000
"Prostate","Age 10","Age <br/>20",0.000
"Prostate","Age 10","Age <br/>25",0.000
"Prostate","Age 10","Age <br/>30",0.000
"Prostate","Age 10","Age <br/>35",0.001
"Prostate","Age 10","Age <br/>40",0.008
"Prostate","Age 10","Age <br/>45",0.053
"Prostate","Age 10","Age <br/>50",0.232
"Prostate","Age 10","Age <br/>55",0.755
"Prostate","Age 10","Age <br/>60",1.808
"Prostate","Age 10","Age <br/>65",3.477
"Prostate","Age 10","Age <br/>70",5.734
"Prostate","Age 10","Age <br/>75",7.862
"Prostate","Age 10","Age <br/>80",9.453
"Prostate","Age 10","Age <br/>85",10.419
"Prostate","Age 10","Age <br/>90",10.962
"Prostate","Age 10","Age <br/>95",11.205
"Prostate","Age 10","Age <br/>95+",11.308
"Prostate","Age 15","Age <br/>5",
"Prostate","Age 15","Age <br/>10",
"Prostate","Age 15","Age <br/>15",
"Prostate","Age 15","Age <br/>20",0.000
"Prostate","Age 15","Age <br/>25",0.000
"Prostate","Age 15","Age <br/>30",0.000
"Prostate","Age 15","Age <br/>35",0.001
"Prostate","Age 15","Age <br/>40",0.008
"Prostate","Age 15","Age <br/>45",0.053
"Prostate","Age 15","Age <br/>50",0.232
"Prostate","Age 15","Age <br/>55",0.756
"Prostate","Age 15","Age <br/>60",1.810
"Prostate","Age 15","Age <br/>65",3.481
"Prostate","Age 15","Age <br/>70",5.740
"Prostate","Age 15","Age <br/>75",7.871
"Prostate","Age 15","Age <br/>80",9.463
"Prostate","Age 15","Age <br/>85",10.430
"Prostate","Age 15","Age <br/>90",10.973
"Prostate","Age 15","Age <br/>95",11.216
"Prostate","Age 15","Age <br/>95+",11.320
"Prostate","Age 20","Age <br/>5",
"Prostate","Age 20","Age <br/>10",
"Prostate","Age 20","Age <br/>15",
"Prostate","Age 20","Age <br/>20",
"Prostate","Age 20","Age <br/>25",0.000
"Prostate","Age 20","Age <br/>30",0.000
"Prostate","Age 20","Age <br/>35",0.001
"Prostate","Age 20","Age <br/>40",0.008
"Prostate","Age 20","Age <br/>45",0.053
"Prostate","Age 20","Age <br/>50",0.232
"Prostate","Age 20","Age <br/>55",0.758
"Prostate","Age 20","Age <br/>60",1.816
"Prostate","Age 20","Age <br/>65",3.492
"Prostate","Age 20","Age <br/>70",5.758
"Prostate","Age 20","Age <br/>75",7.895
"Prostate","Age 20","Age <br/>80",9.493
"Prostate","Age 20","Age <br/>85",10.462
"Prostate","Age 20","Age <br/>90",11.007
"Prostate","Age 20","Age <br/>95",11.251
"Prostate","Age 20","Age <br/>95+",11.355
"Prostate","Age 25","Age <br/>5",
"Prostate","Age 25","Age <br/>10",
"Prostate","Age 25","Age <br/>15",
"Prostate","Age 25","Age <br/>20",
"Prostate","Age 25","Age <br/>25",
"Prostate","Age 25","Age <br/>30",0.000
"Prostate","Age 25","Age <br/>35",0.001
"Prostate","Age 25","Age <br/>40",0.008
"Prostate","Age 25","Age <br/>45",0.053
"Prostate","Age 25","Age <br/>50",0.234
"Prostate","Age 25","Age <br/>55",0.762
"Prostate","Age 25","Age <br/>60",1.826
"Prostate","Age 25","Age <br/>65",3.511
"Prostate","Age 25","Age <br/>70",5.790
"Prostate","Age 25","Age <br/>75",7.939
"Prostate","Age 25","Age <br/>80",9.546
"Prostate","Age 25","Age <br/>85",10.521
"Prostate","Age 25","Age <br/>90",11.069
"Prostate","Age 25","Age <br/>95",11.314
"Prostate","Age 25","Age <br/>95+",11.419
"Prostate","Age 30","Age <br/>5",
"Prostate","Age 30","Age <br/>10",
"Prostate","Age 30","Age <br/>15",
"Prostate","Age 30","Age <br/>20",
"Prostate","Age 30","Age <br/>25",
"Prostate","Age 30","Age <br/>30",
"Prostate","Age 30","Age <br/>35",0.001
"Prostate","Age 30","Age <br/>40",0.008
"Prostate","Age 30","Age <br/>45",0.053
"Prostate","Age 30","Age <br/>50",0.235
"Prostate","Age 30","Age <br/>55",0.767
"Prostate","Age 30","Age <br/>60",1.838
"Prostate","Age 30","Age <br/>65",3.535
"Prostate","Age 30","Age <br/>70",5.829
"Prostate","Age 30","Age <br/>75",7.992
"Prostate","Age 30","Age <br/>80",9.610
"Prostate","Age 30","Age <br/>85",10.591
"Prostate","Age 30","Age <br/>90",11.143
"Prostate","Age 30","Age <br/>95",11.390
"Prostate","Age 30","Age <br/>95+",11.495
"Prostate","Age 35","Age <br/>5",
"Prostate","Age 35","Age <br/>10",
"Prostate","Age 35","Age <br/>15",
"Prostate","Age 35","Age <br/>20",
"Prostate","Age 35","Age <br/>25",
"Prostate","Age 35","Age <br/>30",
"Prostate","Age 35","Age <br/>35",
"Prostate","Age 35","Age <br/>40",0.007
"Prostate","Age 35","Age <br/>45",0.053
"Prostate","Age 35","Age <br/>50",0.236
"Prostate","Age 35","Age <br/>55",0.772
"Prostate","Age 35","Age <br/>60",1.851
"Prostate","Age 35","Age <br/>65",3.560
"Prostate","Age 35","Age <br/>70",5.872
"Prostate","Age 35","Age <br/>75",8.052
"Prostate","Age 35","Age <br/>80",9.681
"Prostate","Age 35","Age <br/>85",10.670
"Prostate","Age 35","Age <br/>90",11.226
"Prostate","Age 35","Age <br/>95",11.475
"Prostate","Age 35","Age <br/>95+",11.581
"Prostate","Age 40","Age <br/>5",
"Prostate","Age 40","Age <br/>10",
"Prostate","Age 40","Age <br/>15",
"Prostate","Age 40","Age <br/>20",
"Prostate","Age 40","Age <br/>25",
"Prostate","Age 40","Age <br/>30",
"Prostate","Age 40","Age <br/>35",
"Prostate","Age 40","Age <br/>40",
"Prostate","Age 40","Age <br/>45",0.046
"Prostate","Age 40","Age <br/>50",0.231
"Prostate","Age 40","Age <br/>55",0.772
"Prostate","Age 40","Age <br/>60",1.861
"Prostate","Age 40","Age <br/>65",3.585
"Prostate","Age 40","Age <br/>70",5.918
"Prostate","Age 40","Age <br/>75",8.117
"Prostate","Age 40","Age <br/>80",9.762
"Prostate","Age 40","Age <br/>85",10.760
"Prostate","Age 40","Age <br/>90",11.321
"Prostate","Age 40","Age <br/>95",11.571
"Prostate","Age 40","Age <br/>95+",11.679
"Prostate","Age 45","Age <br/>5",
"Prostate","Age 45","Age <br/>10",
"Prostate","Age 45","Age <br/>15",
"Prostate","Age 45","Age <br/>20",
"Prostate","Age 45","Age <br/>25",
"Prostate","Age 45","Age <br/>30",
"Prostate","Age 45","Age <br/>35",
"Prostate","Age 45","Age <br/>40",
"Prostate","Age 45","Age <br/>45",
"Prostate","Age 45","Age <br/>50",0.187
"Prostate","Age 45","Age <br/>55",0.735
"Prostate","Age 45","Age <br/>60",1.837
"Prostate","Age 45","Age <br/>65",3.584
"Prostate","Age 45","Age <br/>70",5.946
"Prostate","Age 45","Age <br/>75",8.173
"Prostate","Age 45","Age <br/>80",9.838
"Prostate","Age 45","Age <br/>85",10.848
"Prostate","Age 45","Age <br/>90",11.416
"Prostate","Age 45","Age <br/>95",11.670
"Prostate","Age 45","Age <br/>95+",11.779
"Prostate","Age 50","Age <br/>5",
"Prostate","Age 50","Age <br/>10",
"Prostate","Age 50","Age <br/>15",
"Prostate","Age 50","Age <br/>20",
"Prostate","Age 50","Age <br/>25",
"Prostate","Age 50","Age <br/>30",
"Prostate","Age 50","Age <br/>35",
"Prostate","Age 50","Age <br/>40",
"Prostate","Age 50","Age <br/>45",
"Prostate","Age 50","Age <br/>50",
"Prostate","Age 50","Age <br/>55",0.559
"Prostate","Age 50","Age <br/>60",1.684
"Prostate","Age 50","Age <br/>65",3.466
"Prostate","Age 50","Age <br/>70",5.876
"Prostate","Age 50","Age <br/>75",8.149
"Prostate","Age 50","Age <br/>80",9.848
"Prostate","Age 50","Age <br/>85",10.879
"Prostate","Age 50","Age <br/>90",11.459
"Prostate","Age 50","Age <br/>95",11.718
"Prostate","Age 50","Age <br/>95+",11.829
"Prostate","Age 55","Age <br/>5",
"Prostate","Age 55","Age <br/>10",
"Prostate","Age 55","Age <br/>15",
"Prostate","Age 55","Age <br/>20",
"Prostate","Age 55","Age <br/>25",
"Prostate","Age 55","Age <br/>30",
